Opponent/Game	Category	Start	Click	End	XY	Attacking Player	Shot Origin	Shot Outcome	Shot Location	Defending Player
Korea	Shot Opponent	11:06	11:11	11:19	Scrimmage 1 April 29 2026	Player 10	4	Canada Ball Control Save	2	Cassandra
Korea	Shot Canada	11:14	11:19	11:24	Scrimmage 1 April 29 2026	Cassandra	2	Opponent Save	3	Player 15
Korea	Shot Opponent	11:24	11:29	11:36	Scrimmage 1 April 29 2026	Player 12	1	Goal Opponent	5	Florinda
Korea	Shot Canada	11:35	11:40	11:50	Scrimmage 1 April 29 2026	Florinda	5	Opponent Save	4	Player 10
Korea	Shot Opponent	11:45	11:50	11:58	Scrimmage 1 April 29 2026	Player 10	4	Canada Save	2.5	Meghan
Korea	Shot Canada	11:53	11:58	12:06	Scrimmage 1 April 29 2026	Cassandra	2	Opponent Save	4	Player 15
Korea	Shot Opponent	12:02	12:07	12:15	Scrimmage 1 April 29 2026	Player 12	1	Canada Ball Control Save	3.5	Meghan
Korea	Shot Canada	12:10	12:15	12:25	Scrimmage 1 April 29 2026	Meghan	3	Opponent Save	4.5	Player 10
Korea	Shot Opponent	12:21	12:26	12:35	Scrimmage 1 April 29 2026	Player 10	5	Canada Ball Control Save	3	Meghan
Korea	Shot Canada	12:31	12:36	12:46	Scrimmage 1 April 29 2026	Florinda	4	Opponent Save	2	Player 12
Korea	Shot Opponent	12:42	12:47	12:55	Scrimmage 1 April 29 2026	Player 12	1	Goal Opponent	5	
Korea	Shot Canada	12:58	13:03	13:12	Scrimmage 1 April 29 2026	Florinda	5	Opponent Save	4	Player 12
Korea	Shot Opponent	13:07	13:12	13:24	Scrimmage 1 April 29 2026	Player 10	5	Canada Ball Control Save	3.5	Meghan
Korea	Shot Canada	13:20	13:25	13:30	Scrimmage 1 April 29 2026	Meghan	1	Canada Out	6	
Korea	Shot Opponent	13:33	13:38	13:47	Scrimmage 1 April 29 2026	Player 12	2	Canada Ball Control Save	1	Cassandra
Korea	Shot Canada	13:42	13:47	13:54	Scrimmage 1 April 29 2026	Cassandra	1	Opponent Save	4	Player 10
Korea	Shot Opponent	13:49	13:54	14:04	Scrimmage 1 April 29 2026	Player 10	4	Canada Ball Control Save	2	Meghan
Korea	Penalty Shot Canada	14:06	14:11	14:24	Scrimmage 1 April 29 2026	Meghan	3	Goal Canada	2.5	Player 10
Korea	Shot Opponent	14:29	14:34	14:42	Scrimmage 1 April 29 2026	Player 12	1	Goal Opponent	3	Meghan
Korea	Shot Canada	14:46	14:51	15:01	Scrimmage 1 April 29 2026	Meghan	2	Opponent Save	3.5	Player 15
Korea	Shot Opponent	14:57	15:02	15:09	Scrimmage 1 April 29 2026	Player 10	4	Canada Save	3.5	Meghan
Korea	Shot Canada	15:05	15:10	15:18	Scrimmage 1 April 29 2026	Florinda	4	Opponent Save	1	Player 12
Korea	Shot Opponent	15:14	15:19	15:36	Scrimmage 1 April 29 2026	Player 12	2	Canada Ball Control Save	4.5	Florinda
Korea	Shot Canada	15:32	15:37	15:43	Scrimmage 1 April 29 2026	Florinda	5	Opponent Save	2.5	Player 15
Korea	Shot Opponent	15:39	15:44	15:55	Scrimmage 1 April 29 2026	Player 10	4	Canada Save	2.5	Cassandra
Korea	Shot Canada	15:50	15:55	16:12	Scrimmage 1 April 29 2026	Cassandra	2	Opponent Save	3.5	Player 15
Korea	Shot Canada	17:00	17:05	17:10	Scrimmage 1 April 29 2026	Amy	1	Opponent Save	3.5	Player 15
Korea	Shot Opponent	17:06	17:11	17:17	Scrimmage 1 April 29 2026	Player 10	5	Canada Save	2	Amy
Korea	Shot Canada	17:13	17:18	17:27	Scrimmage 1 April 29 2026	Amy	1	Opponent Save	4	Player 10
Korea	Shot Opponent	17:23	17:28	17:33	Scrimmage 1 April 29 2026	Player 10	5	Opponent Out	0	
Korea	Penalty Shot Canada	18:01	18:06	18:12	Scrimmage 1 April 29 2026	Amy	3	Goal Canada	1	Player 15
Korea	Shot Opponent	18:16	18:21	18:29	Scrimmage 1 April 29 2026	Player 12	1	Canada Ball Control Save	4	Meghan
Korea	Shot Canada	18:25	18:30	18:38	Scrimmage 1 April 29 2026	Florinda	4	Opponent Save	4	Player 10
Korea	Shot Opponent	18:34	18:39	18:48	Scrimmage 1 April 29 2026	Player 10	4	Canada Save	1.5	Amy
Korea	Shot Canada	18:43	18:48	18:54	Scrimmage 1 April 29 2026	Amy	2	Opponent Save	2.5	Player 15
Korea	Shot Opponent	18:50	18:55	19:04	Scrimmage 1 April 29 2026	Player 12	1	Canada Save	4	Florinda
Korea	Shot Canada	19:00	19:05	19:11	Scrimmage 1 April 29 2026	Meghan	3	Opponent Save	3	Player 15
Korea	Shot Opponent	19:07	19:12	19:20	Scrimmage 1 April 29 2026	Player 10	5	Canada Ball Control Save	1	Amy
Korea	Shot Canada	19:17	19:22	19:35	Scrimmage 1 April 29 2026	Amy	2	Opponent Save	2	Player 12
Korea	Shot Opponent	19:31	19:36	19:44	Scrimmage 1 April 29 2026	Player 12	2	Canada Save	4	Florinda
Korea	Shot Canada	19:40	19:45	19:53	Scrimmage 1 April 29 2026	Amy	2	Goal Canada	2.5	Player 12
Korea	Shot Opponent	20:01	20:06	20:12	Scrimmage 1 April 29 2026	Player 10	4	Canada Ball Control Save	1.5	Amy
Korea	Shot Canada	20:07	20:12	20:19	Scrimmage 1 April 29 2026	Amy	1	Opponent Save	5	Player 10
Korea	Shot Opponent	20:14	20:19	20:24	Scrimmage 1 April 29 2026	Player 10	5	Canada Save	2.5	Meghan
Korea	Shot Canada	20:20	20:25	20:36	Scrimmage 1 April 29 2026	Florinda	4	Opponent Save	2	Player 12
Korea	Shot Opponent	20:32	20:37	20:45	Scrimmage 1 April 29 2026	Player 12	2	Canada Save	4.5	Florinda
Korea	Shot Canada	20:41	20:46	20:58	Scrimmage 1 April 29 2026	Florinda	5	Opponent Save	2.5	Player 15
Korea	Shot Opponent	20:53	20:58	21:08	Scrimmage 1 April 29 2026	Player 10	4	Canada Ball Control Save	1	Amy
Korea	Shot Canada	21:04	21:09	21:20	Scrimmage 1 April 29 2026	Amy	2	Opponent Save	3	Player 15
Korea	Shot Opponent	21:16	21:21	21:30	Scrimmage 1 April 29 2026	Player 12	1	Canada Save	4.5	Florinda
Korea	Shot Canada	21:26	21:31	21:38	Scrimmage 1 April 29 2026	Meghan	3	Opponent Save	3	Player 15
Korea	Shot Opponent	21:34	21:39	21:50	Scrimmage 1 April 29 2026	Player 10	5	Canada Ball Control Save	1.5	Amy
Korea	Shot Canada	21:45	21:50	22:03	Scrimmage 1 April 29 2026	Amy	4	Opponent Save	3.5	Player 15
Korea	Shot Opponent	22:00	22:05	22:17	Scrimmage 1 April 29 2026	Player 12	5	Canada Ball Control Save	3.5	Meghan
Korea	Shot Canada	22:12	22:17	22:26	Scrimmage 1 April 29 2026	Meghan	4	Opponent Save	4.5	Player 10
Korea	Shot Opponent	22:22	22:27	22:32	Scrimmage 1 April 29 2026	Player 10	5	Opponent Out	0	
Korea	T-END	22:39	22:39	22:39	Scrimmage 1 April 29 2026					
Korea	@@@P2	28:29	28:29	28:29	Scrimmage 1 April 29 2026					
Korea	T-START	28:29	28:29	28:29	Scrimmage 1 April 29 2026					
Korea	Shot Opponent	28:32	28:37	28:44	Scrimmage 1 April 29 2026	Ahmad	3	Canada Ball Control Save	1	Amy
Korea	Shot Canada	28:39	28:44	28:53	Scrimmage 1 April 29 2026	Amy	1	Opponent Save	5	Away Player 9
Korea	Shot Opponent	28:49	28:54	29:07	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Save	2.5	Amy
Korea	Shot Canada	29:02	29:07	29:14	Scrimmage 1 April 29 2026	Meghan	3	Opponent Save	3	Ahmad
Korea	Shot Opponent	29:10	29:15	29:22	Scrimmage 1 April 29 2026	Away Player 9	2	Canada Save	3	Meghan
Korea	Shot Canada	29:17	29:22	29:30	Scrimmage 1 April 29 2026	Amy	2	Opponent Save	4.5	Away Player 9
Korea	Shot Opponent	29:25	29:30	29:38	Scrimmage 1 April 29 2026	Away Player 9	4	Canada Ball Control Save	2	Amy
Korea	Shot Canada	29:33	29:38	29:45	Scrimmage 1 April 29 2026	Amy	2	Opponent Save	3	Player 1
Korea	Shot Opponent	29:40	29:45	29:57	Scrimmage 1 April 29 2026	Ahmad	4	Canada Ball Control Save	2	Meghan
Korea	Shot Canada	29:53	29:58	30:09	Scrimmage 1 April 29 2026	Emma	4	Opponent Save	1.5	Ahmad
Korea	Shot Opponent	30:05	30:10	30:21	Scrimmage 1 April 29 2026	Ahmad	1	Canada Ball Control Save	4	Emma
Korea	Shot Canada	30:17	30:22	30:28	Scrimmage 1 April 29 2026	Amy	4	Opponent Save	2.5	Player 1
Korea	Shot Opponent	30:23	30:28	30:41	Scrimmage 1 April 29 2026	Ahmad	1	Canada Ball Control Save	2	Amy
Korea	Shot Canada	30:37	30:42	30:47	Scrimmage 1 April 29 2026	Meghan	3	Opponent Save	3	Player 1
Korea	Shot Opponent	30:41	30:46	30:51	Scrimmage 1 April 29 2026	Player 1	3	Canada Ball Control Save	4	Emma
Korea	Shot Canada	30:46	30:51	31:01	Scrimmage 1 April 29 2026	Emma	5	Opponent Save	2	Player 1
Korea	Shot Canada	30:57	31:02	31:16	Scrimmage 1 April 29 2026	Amy	4	Opponent Save	3	Player 1
Korea	Shot Opponent	31:11	31:16	31:25	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Save	1.5	Amy
Korea	Shot Canada	31:21	31:26	31:38	Scrimmage 1 April 29 2026	Amy	1	Opponent Save	4	Away Player 9
Korea	Shot Opponent	31:34	31:39	31:46	Scrimmage 1 April 29 2026	Ahmad	2	Canada Save	4	Meghan
Korea	Shot Canada	31:42	31:47	31:56	Scrimmage 1 April 29 2026	Emma	4	Opponent Save	4.5	Away Player 9
Korea	Shot Opponent	31:51	31:56	32:02	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Ball Control Save	3	Meghan
Korea	Shot Canada	31:58	32:03	32:15	Scrimmage 1 April 29 2026	Meghan	5	Opponent Save	2.5	Player 1
Korea	Shot Opponent	32:10	32:15	32:24	Scrimmage 1 April 29 2026	Ahmad	1	Canada Save	4.5	Emma
Korea	Shot Canada	32:20	32:25	32:31	Scrimmage 1 April 29 2026	Amy	4	Opponent Save	1	Ahmad
Korea	Shot Opponent	32:27	32:32	32:37	Scrimmage 1 April 29 2026	Ahmad	4	Canada Ball Control Save	3	Meghan
Korea	Shot Canada	32:30	32:35	32:54	Scrimmage 1 April 29 2026	Emma	4	Opponent Save	3	Player 1
Korea	Shot Canada	32:50	32:55	33:10	Scrimmage 1 April 29 2026	Amy	1	Opponent Save	2	Ahmad
Korea	Shot Opponent	33:06	33:11	33:17	Scrimmage 1 April 29 2026	Ahmad	1	Canada Save	4	Emma
Korea	Shot Canada	33:13	33:18	33:32	Scrimmage 1 April 29 2026	Emma	3	Opponent Save	2	Ahmad
Korea	Shot Opponent	33:27	33:32	33:44	Scrimmage 1 April 29 2026	Away Player 9	4	Canada Ball Control Save	2	Meghan
Korea	Shot Canada	34:00	34:05	34:11	Scrimmage 1 April 29 2026	Meghan	1	Opponent Save	4.5	Away Player 9
Korea	Shot Opponent	34:07	34:12	34:18	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Ball Control Save	1.5	Meghan
Korea	Shot Canada	34:14	34:19	34:27	Scrimmage 1 April 29 2026	Meghan	2	Opponent Save	5	Away Player 9
Korea	Shot Opponent	34:23	34:28	34:43	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Ball Control Save	2	Meghan
Korea	Shot Canada	34:39	34:44	34:50	Scrimmage 1 April 29 2026	Meghan	2	Opponent Save	4.5	Away Player 9
Korea	Shot Opponent	34:46	34:51	34:59	Scrimmage 1 April 29 2026	Ahmad	2	Canada Save	3	Cassandra
Korea	Shot Canada	34:54	34:59	35:06	Scrimmage 1 April 29 2026	Florinda	5	Opponent Save	3	Player 1
